epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.043,0.84524,3.46521,1.18738,0.26126,0.51853,0.28421,0.22782,0.75806,2.02258,1.12522,0.000174391,0.000174391,0.000174391
2,497.143,0.75666,2.50032,1.09147,0.3149,0.61232,0.38801,0.31407,0.7494,1.76153,1.10337,0.000338183,0.000338183,0.000338183
3,741.476,0.7495,2.12247,1.07607,0.36236,0.59381,0.47638,0.37518,0.80593,1.90636,1.17171,0.000490404,0.000490404,0.000490404
4,985.512,0.73695,1.77729,1.06626,0.61783,0.685,0.70252,0.57162,0.75831,1.20049,1.09341,0.000473926,0.000473926,0.000473926
5,1229.69,0.70472,1.49311,1.04717,0.70905,0.66014,0.75256,0.63375,0.69017,0.99452,1.04494,0.000456568,0.000456568,0.000456568
6,1474,0.67459,1.3338,1.02934,0.81419,0.73203,0.81384,0.67705,0.69009,0.84071,1.06262,0.00043921,0.00043921,0.00043921
7,1718.18,0.67098,1.21893,1.02357,0.89598,0.75104,0.85716,0.71898,0.69356,0.78322,1.05146,0.000421852,0.000421852,0.000421852
8,1962.37,0.64926,1.09633,1.01773,0.89832,0.78442,0.87332,0.73321,0.6623,0.68352,1.02073,0.000404494,0.000404494,0.000404494
9,2206.72,0.64238,1.03731,1.0143,0.8786,0.78015,0.87339,0.73701,0.63079,0.68117,0.99007,0.000387136,0.000387136,0.000387136
10,2451.15,0.62971,0.9726,1.00974,0.88379,0.83938,0.90828,0.76168,0.63323,0.59076,0.98767,0.000369778,0.000369778,0.000369778
11,2695.53,0.62771,0.93618,1.00046,0.88043,0.83818,0.90254,0.75977,0.64645,0.60737,1.00677,0.00035242,0.00035242,0.00035242
12,2939.96,0.61575,0.88608,1.0004,0.9172,0.81615,0.90273,0.76503,0.62258,0.54077,0.99003,0.000335062,0.000335062,0.000335062
13,3184.45,0.60536,0.85985,0.99051,0.92483,0.83316,0.91867,0.77332,0.62768,0.5337,0.99078,0.000317704,0.000317704,0.000317704
14,3429.18,0.59091,0.82144,0.98744,0.95151,0.838,0.93156,0.79264,0.61172,0.50137,0.97675,0.000300346,0.000300346,0.000300346
15,3673.31,0.58996,0.78924,0.98642,0.93741,0.85643,0.93541,0.78977,0.61005,0.47739,0.97196,0.000282988,0.000282988,0.000282988
16,3917.94,0.57822,0.75837,0.97799,0.95068,0.83336,0.93921,0.79696,0.5971,0.48034,0.97171,0.00026563,0.00026563,0.00026563
17,4162.74,0.58142,0.76485,0.9794,0.90258,0.87264,0.93445,0.79306,0.60248,0.46812,0.96851,0.000248272,0.000248272,0.000248272
18,4407.16,0.56847,0.73455,0.97676,0.93545,0.86982,0.93976,0.79529,0.59526,0.4362,0.96627,0.000230914,0.000230914,0.000230914
19,4651,0.56744,0.71505,0.9736,0.91508,0.87486,0.93036,0.79616,0.60222,0.44766,0.97351,0.000213556,0.000213556,0.000213556
20,4895.32,0.55716,0.67508,0.96797,0.93832,0.85661,0.94394,0.80473,0.58757,0.41666,0.96162,0.000196198,0.000196198,0.000196198
21,5173.21,0.56342,0.50725,0.94604,0.93761,0.88523,0.94892,0.80661,0.58915,0.42222,0.96106,0.00017884,0.00017884,0.00017884
22,5416.56,0.55324,0.48273,0.94009,0.92484,0.88825,0.95236,0.81156,0.5882,0.41466,0.95955,0.000161482,0.000161482,0.000161482
23,5659.45,0.54171,0.45543,0.93433,0.94904,0.87367,0.95072,0.81172,0.58228,0.40625,0.95856,0.000144124,0.000144124,0.000144124
24,5902.4,0.53567,0.43216,0.92594,0.91744,0.90054,0.9516,0.8116,0.57851,0.39606,0.95317,0.000126766,0.000126766,0.000126766
25,6145.27,0.53117,0.41131,0.92678,0.95588,0.89043,0.95364,0.81983,0.56762,0.38287,0.94732,0.000109408,0.000109408,0.000109408
26,6388.2,0.51999,0.40222,0.91745,0.9395,0.89722,0.95701,0.82719,0.56828,0.3724,0.94595,9.205e-05,9.205e-05,9.205e-05
27,6631.16,0.51531,0.38913,0.91367,0.96319,0.89275,0.95711,0.82519,0.5571,0.35974,0.93765,7.4692e-05,7.4692e-05,7.4692e-05
28,6874.09,0.51003,0.37749,0.91031,0.9454,0.90451,0.95951,0.83047,0.55944,0.36114,0.94053,5.7334e-05,5.7334e-05,5.7334e-05
29,7117.13,0.50127,0.36713,0.90828,0.95786,0.89993,0.95931,0.83294,0.55217,0.3521,0.93638,3.9976e-05,3.9976e-05,3.9976e-05
30,7360.15,0.49712,0.36515,0.9039,0.94916,0.902,0.96213,0.83185,0.5504,0.34603,0.93718,2.2618e-05,2.2618e-05,2.2618e-05
